name,region,date,value
Number of applications for consumer loans,Belgorodskaya oblast,2014-12-15,12309
Number of applications for consumer loans,Belgorodskaya oblast,2015-01-15,3928
Number of applications for consumer loans,Belgorodskaya oblast,2015-02-15,4611
Number of applications for consumer loans,Belgorodskaya oblast,2015-03-15,5824
Number of applications for consumer loans,Belgorodskaya oblast,2015-04-15,7833
Number of applications for consumer loans,Belgorodskaya oblast,2015-05-15,7728
Number of applications for consumer loans,Belgorodskaya oblast,2015-06-15,14184
Number of applications for consumer loans,Belgorodskaya oblast,2015-07-15,15128
Number of applications for consumer loans,Belgorodskaya oblast,2015-08-15,13701
Number of applications for consumer loans,Belgorodskaya oblast,2015-09-15,12764
Number of applications for consumer loans,Belgorodskaya oblast,2015-10-15,11569
Number of applications for consumer loans,Belgorodskaya oblast,2015-11-15,10464
Number of applications for consumer loans,Belgorodskaya oblast,2015-12-15,15253
Number of applications for consumer loans,Belgorodskaya oblast,2016-01-15,8445
Number of applications for consumer loans,Belgorodskaya oblast,2016-02-15,10734
Number of applications for consumer loans,Belgorodskaya oblast,2016-03-15,12851
Number of applications for consumer loans,Belgorodskaya oblast,2016-04-15,13264
Number of applications for consumer loans,Belgorodskaya oblast,2016-05-15,13544
Number of applications for consumer loans,Belgorodskaya oblast,2016-06-15,16036
Number of applications for consumer loans,Belgorodskaya oblast,2016-07-15,15899
Number of applications for consumer loans,Belgorodskaya oblast,2016-08-15,16941
Number of applications for consumer loans,Belgorodskaya oblast,2016-09-15,15174
Number of applications for consumer loans,Belgorodskaya oblast,2016-10-15,14425
Number of applications for consumer loans,Belgorodskaya oblast,2016-11-15,15537
Number of applications for consumer loans,Belgorodskaya oblast,2016-12-15,16558
Number of applications for consumer loans,Belgorodskaya oblast,2017-01-15,10588
Number of applications for consumer loans,Belgorodskaya oblast,2017-02-15,11564
Number of applications for consumer loans,Belgorodskaya oblast,2017-03-15,16627
Number of applications for consumer loans,Belgorodskaya oblast,2017-04-15,12954
Number of applications for consumer loans,Bryansk region,2013-01-15,5039
Number of applications for consumer loans,Bryansk region,2013-02-15,4477
Number of applications for consumer loans,Bryansk region,2013-03-15,5448
Number of applications for consumer loans,Bryansk region,2013-04-15,7522
Number of applications for consumer loans,Bryansk region,2013-05-15,7569
Number of applications for consumer loans,Bryansk region,2013-06-15,6763
Number of applications for consumer loans,Bryansk region,2013-07-15,8247
Number of applications for consumer loans,Bryansk region,2013-08-15,7410
Number of applications for consumer loans,Bryansk region,2013-09-15,6722
Number of applications for consumer loans,Bryansk region,2013-10-15,8468
Number of applications for consumer loans,Bryansk region,2013-11-15,8666
Number of applications for consumer loans,Bryansk region,2013-12-15,9413
Number of applications for consumer loans,Bryansk region,2014-01-15,4292
Number of applications for consumer loans,Bryansk region,2014-02-15,6682
Number of applications for consumer loans,Bryansk region,2014-03-15,7414
Number of applications for consumer loans,Bryansk region,2014-04-15,8267
Number of applications for consumer loans,Bryansk region,2014-05-15,7993
Number of applications for consumer loans,Bryansk region,2014-06-15,7688
Number of applications for consumer loans,Bryansk region,2014-07-15,8956
Number of applications for consumer loans,Bryansk region,2014-08-15,8337
Number of applications for consumer loans,Bryansk region,2014-09-15,7552
